Employee ID,Employee Name,Date of Birth,Date of Joining,Location,Reporting Manager
101,Alice,1981-05-10,2022-01-24,Austin,Jane Smith
101,Alice,1969-08-20,2020-07-19,San Francisco,Michael Brown
101,Alice,2000-07-15,2018-01-12,Seattle,John Doe
101,Alice,2002-07-03,2016-12-17,Los Angeles,Sarah Wilson
101,Alice,1990-01-06,2021-08-12,Seattle,Jane Smith
101,Alice,1973-07-06,2024-12-30,New York,Sarah Wilson
101,Alice,1994-08-03,2019-10-19,San Francisco,Jane Smith
101,Alice,1975-10-16,2023-06-17,Los Angeles,John Doe
101,Alice,1981-11-10,2022-07-17,New York,John Doe
101,Alice,1980-03-03,2024-03-14,Chicago,Jane Smith
101,Alice,1978-04-30,2021-05-12,Los Angeles,Jane Smith
101,Alice,1975-04-30,2024-02-05,Austin,Sarah Wilson
101,Alice,1984-06-10,2024-10-17,Seattle,Jane Smith
101,Alice,1969-12-23,2016-02-11,Seattle,Sarah Wilson
101,Alice,1979-03-20,2015-10-29,Austin,Jane Smith
101,Alice,1976-04-05,2022-07-27,Seattle,Jane Smith
101,Alice,2002-01-24,2024-03-01,Chicago,Jane Smith
101,Alice,2000-06-27,2024-03-09,Los Angeles,Jane Smith
101,Alice,1970-01-26,2018-07-01,Seattle,Sarah Wilson
101,Alice,1977-01-27,2020-09-23,Los Angeles,Michael Brown
101,Alice,2000-11-22,2023-07-14,Los Angeles,John Doe
101,Alice,1995-06-01,2019-02-01,Austin,Sarah Wilson
101,Alice,1984-10-29,2024-06-19,New York,Sarah Wilson
101,Alice,1966-05-22,2023-06-27,Chicago,Michael Brown
101,Alice,2000-06-07,2020-11-07,New York,Sarah Wilson
101,Alice,2001-03-09,2020-11-28,San Francisco,Michael Brown
101,Alice,1973-11-08,2023-06-17,Chicago,Michael Brown
101,Alice,1965-02-23,2020-10-20,Chicago,Sarah Wilson
101,Alice,1997-12-16,2017-01-25,Los Angeles,Emily Davis
101,Alice,1977-04-28,2021-04-11,Los Angeles,Sarah Wilson
101,Alice,1979-02-04,2020-05-03,New York,Jane Smith
101,Alice,1968-01-24,2019-07-25,New York,Sarah Wilson
101,Alice,1981-01-16,2023-11-12,San Francisco,John Doe
101,Alice,1989-05-19,2021-05-06,Seattle,Jane Smith
101,Alice,1992-01-17,2021-10-01,Austin,Michael Brown
101,Alice,1998-04-07,2018-03-20,San Francisco,Emily Davis
101,Alice,1970-07-11,2021-11-18,New York,Michael Brown
101,Alice,1966-08-12,2023-05-15,Austin,Michael Brown
101,Alice,1986-06-30,2021-02-05,Chicago,Michael Brown
101,Alice,1978-08-11,2018-12-05,New York,John Doe
101,Alice,1972-10-07,2017-01-02,Los Angeles,Emily Davis
101,Alice,1965-04-06,2018-01-10,San Francisco,Emily Davis
